
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-23932.log', 'MatchStart': '2021.01.21-18.14.58:862', 'MatchStartLineNumber': '879', 'MatchCancel': '2021.01.21-18.17.43:632', 'MatchCancelLineNumber': '1002'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.01:274', 'MatchCancelLineNumber': '959'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.00.50:634', 'MatchStartLineNumber': '1185', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-18.59.21:597', 'MatchStartLineNumber': '858', 'MatchCancel': '2021.01.21-19.00.56:737', 'MatchCancelLineNumber': '1268'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.06.49:287', 'MatchStartLineNumber': '1617', 'MatchCancel': '2021.01.21-19.07.23:380', 'MatchCancelLineNumber': '1691'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.06.49:287', 'MatchStartLineNumber': '1617', 'MatchCancel': '2021.01.21-19.17.53:689', 'MatchCancelLineNumber': '1856'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-26212.log', 'MatchStart': '2021.01.21-19.24.26:297', 'MatchStartLineNumber': '2090', 'MatchCancel': '2021.01.21-19.25.30:781', 'MatchCancelLineNumber': '2175'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.44.20:071', 'MatchStartLineNumber': '871', 'MatchCancel': '2021.01.21-19.44.51:178', 'MatchCancelLineNumber': '976'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.44.20:071', 'MatchStartLineNumber': '871', 'MatchCancel': '2021.01.21-19.44.51:178', 'MatchCancelLineNumber': '976'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.45.36:288', 'MatchStartLineNumber': '1054', 'MatchCancel': '2021.01.21-19.47.19:432', 'MatchCancelLineNumber': '1186'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.45.36:288', 'MatchStartLineNumber': '1054', 'MatchCancel': '2021.01.21-19.47.19:432', 'MatchCancelLineNumber': '1186'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.51.10:330', 'MatchStartLineNumber': '1263', 'MatchCancel': '2021.01.21-19.52.10:424', 'MatchCancelLineNumber': '1359'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.52.19:782', 'MatchStartLineNumber': '1434', 'MatchCancel': '2021.01.21-19.54.05:173', 'MatchCancelLineNumber': '1584'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.54.24:695', 'MatchStartLineNumber': '1665', 'MatchCancel': '2021.01.21-19.54.47:041', 'MatchCancelLineNumber': '1743'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.55.28:332', 'MatchStartLineNumber': '1820', 'MatchCancel': '2021.01.21-19.55.51:205', 'MatchCancelLineNumber': '1906'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.55.28:332', 'MatchStartLineNumber': '1820', 'MatchCancel': '2021.01.21-19.55.51:205', 'MatchCancelLineNumber': '1906'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-19.55.28:332', 'MatchStartLineNumber': '1820', 'MatchCancel': '2021.01.21-19.55.51:205', 'MatchCancelLineNumber': '1906'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-20.00.59:135', 'MatchStartLineNumber': '1983', 'MatchCancel': '2021.01.21-20.01.13:906', 'MatchCancelLineNumber': '2058'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-18948.log', 'MatchStart': '2021.01.21-20.00.59:135', 'MatchStartLineNumber': '1983', 'MatchCancel': '2021.01.21-20.01.13:906', 'MatchCancelLineNumber': '2058'}
