
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-23832.log', 'MatchStart': '2021.01.19-20.03.40:720', 'MatchStartLineNumber': '3151', 'MatchCancel': '2021.01.19-20.19.17:083', 'MatchCancelLineNumber': '6402'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.39.13:800', 'MatchStartLineNumber': '1003', 'MatchCancel': '2021.01.19-22.39.40:766', 'MatchCancelLineNumber': '1137'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.39.13:800', 'MatchStartLineNumber': '1003', 'MatchCancel': '2021.01.19-22.39.40:766', 'MatchCancelLineNumber': '1137'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.42.57:025', 'MatchStartLineNumber': '1297', 'MatchCancel': '2021.01.19-22.43.56:650', 'MatchCancelLineNumber': '1651'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.42.57:025', 'MatchStartLineNumber': '1297', 'MatchCancel': '2021.01.19-22.43.56:650', 'MatchCancelLineNumber': '1651'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.47.18:630', 'MatchStartLineNumber': '1808', 'MatchCancel': '2021.01.19-22.48.06:653', 'MatchCancelLineNumber': '1971'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.51.32:392', 'MatchStartLineNumber': '2128', 'MatchCancel': '2021.01.19-22.52.56:512', 'MatchCancelLineNumber': '2277'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.53.08:822', 'MatchStartLineNumber': '2429', 'MatchCancel': '2021.01.19-22.55.06:945', 'MatchCancelLineNumber': '2585'}
 {'FileName': 'C:\\Users\\romar\\AppData\\Local\\g3\\Saved\\Logs\\g3-8484.log', 'MatchStart': '2021.01.19-22.53.08:822', 'MatchStartLineNumber': '2429', 'MatchCancel': '2021.01.19-22.55.06:945', 'MatchCancelLineNumber': '2585'}
